"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Myeloid-MDS",2,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Thy-AdenoCA",48,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Lymph-BNHL",107,39,0.364485981308411,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Skin-Melanoma",106,35,0.330188679245283,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Bladder-TCC",23,7,0.304347826086957,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Lung-AdenoCA",38,11,0.289473684210526,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Lung-SCC",48,13,0.270833333333333,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"ColoRect-AdenoCA",52,11,0.211538461538462,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"SoftTissue-Leiomyo",15,3,0.2,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Cervix-SCC",18,3,0.166666666666667,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Liver-HCC",315,49,0.155555555555556,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Head-SCC",57,8,0.140350877192982,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Kidney-ChRCC",45,6,0.133333333333333,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Stomach-AdenoCA",69,9,0.130434782608696,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Uterus-AdenoCA",40,4,0.1,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Eso-AdenoCA",98,9,0.0918367346938776,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Breast-LobularCA",13,1,0.0769230769230769,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Kidney-RCC",143,11,0.0769230769230769,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Breast-AdenoCA",198,15,0.0757575757575758,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"CNS-GBM",41,3,0.0731707317073171,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Ovary-AdenoCA",112,8,0.0714285714285714,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Biliary-AdenoCA",33,2,0.0606060606060606,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Panc-Endocrine",85,5,0.0588235294117647,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"CNS-Oligo",18,1,0.0555555555555556,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Panc-AdenoCA",237,13,0.0548523206751055,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"CNS-Medullo",146,5,0.0342465753424658,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Lymph-CLL",95,3,0.0315789473684211,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Prost-AdenoCA",210,6,0.0285714285714286,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Bone-Osteosarc",38,1,0.0263157894736842,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"CNS-PiloAstro",89,1,0.0112359550561798,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Bone-Benign",16,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Bone-Epith",10,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Breast-DCIS",3,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Cervix-AdenoCA",2,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Myeloid-AML",13,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Myeloid-MDS",2,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Myeloid-MPN",23,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"Thy-AdenoCA",48,0,0,0.107809523809524,"Tcells","neg","Autophagy","Autophagy"
"ColoRect-AdenoCA",52,15,0.288461538461538,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Skin-Melanoma",106,28,0.264150943396226,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Lymph-BNHL",107,27,0.252336448598131,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Bladder-TCC",23,4,0.173913043478261,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Lung-SCC",48,8,0.166666666666667,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Lung-AdenoCA",38,6,0.157894736842105,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Head-SCC",57,7,0.12280701754386,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Biliary-AdenoCA",33,4,0.121212121212121,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Eso-AdenoCA",98,11,0.112244897959184,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"CNS-Oligo",18,2,0.111111111111111,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Liver-HCC",315,35,0.111111111111111,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"SoftTissue-Liposarc",19,2,0.105263157894737,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Bone-Osteosarc",38,3,0.0789473684210526,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Breast-AdenoCA",198,15,0.0757575757575758,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Uterus-AdenoCA",40,3,0.075,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"CNS-GBM",41,3,0.0731707317073171,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Stomach-AdenoCA",69,5,0.072463768115942,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"SoftTissue-Leiomyo",15,1,0.0666666666666667,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Ovary-AdenoCA",112,7,0.0625,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Kidney-RCC",143,8,0.0559440559440559,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Cervix-SCC",18,1,0.0555555555555556,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Kidney-ChRCC",45,2,0.0444444444444444,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Myeloid-MPN",23,1,0.0434782608695652,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Panc-AdenoCA",237,10,0.0421940928270042,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Lymph-CLL",95,3,0.0315789473684211,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Panc-Endocrine",85,2,0.0235294117647059,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"CNS-PiloAstro",89,2,0.0224719101123595,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"CNS-Medullo",146,2,0.0136986301369863,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Prost-AdenoCA",210,2,0.00952380952380952,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Bone-Benign",16,0,0,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Bone-Epith",10,0,0,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Breast-DCIS",3,0,0,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Breast-LobularCA",13,0,0,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Cervix-AdenoCA",2,0,0,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Myeloid-AML",13,0,0,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Myeloid-MDS",2,0,0,0.0838095238095238,"Tcells","neg","Regulation Of Response To Cytokine Stimulus","Response to Cytokine Stimulus"
"Lung-SCC",48,10,0.208333333333333,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Skin-Melanoma",106,22,0.207547169811321,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"ColoRect-AdenoCA",52,8,0.153846153846154,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"SoftTissue-Leiomyo",15,2,0.133333333333333,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Lung-AdenoCA",38,4,0.105263157894737,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Head-SCC",57,5,0.087719298245614,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Bladder-TCC",23,2,0.0869565217391304,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Uterus-AdenoCA",40,3,0.075,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Eso-AdenoCA",98,7,0.0714285714285714,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Liver-HCC",315,22,0.0698412698412698,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Ovary-AdenoCA",112,7,0.0625,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Cervix-SCC",18,1,0.0555555555555556,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"CNS-Oligo",18,1,0.0555555555555556,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Breast-AdenoCA",198,10,0.0505050505050505,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Kidney-RCC",143,7,0.048951048951049,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"CNS-GBM",41,2,0.048780487804878,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Kidney-ChRCC",45,2,0.0444444444444444,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Stomach-AdenoCA",69,3,0.0434782608695652,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Panc-AdenoCA",237,8,0.0337552742616034,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Lymph-BNHL",107,3,0.0280373831775701,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Panc-Endocrine",85,2,0.0235294117647059,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Prost-AdenoCA",210,4,0.019047619047619,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"CNS-Medullo",146,2,0.0136986301369863,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Biliary-AdenoCA",33,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Bone-Benign",16,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Bone-Epith",10,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Bone-Osteosarc",38,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Breast-DCIS",3,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Breast-LobularCA",13,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Cervix-AdenoCA",2,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"CNS-PiloAstro",89,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Lymph-CLL",95,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Myeloid-AML",13,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Myeloid-MDS",2,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Myeloid-MPN",23,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Thy-AdenoCA",48,0,0,0.0525714285714286,"Tcells","neg","Lipoprotein Biosynthetic Process","Lipoprotein Biosynthetic Process"
"Head-SCC",57,12,0.210526315789474,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Bladder-TCC",23,4,0.173913043478261,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Cervix-SCC",18,3,0.166666666666667,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"ColoRect-AdenoCA",52,7,0.134615384615385,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Stomach-AdenoCA",69,8,0.115942028985507,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Skin-Melanoma",106,12,0.113207547169811,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Lung-AdenoCA",38,4,0.105263157894737,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Bone-Epith",10,1,0.1,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Lymph-BNHL",107,9,0.0841121495327103,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Liver-HCC",315,22,0.0698412698412698,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Kidney-RCC",143,8,0.0559440559440559,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Panc-AdenoCA",237,13,0.0548523206751055,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Eso-AdenoCA",98,5,0.0510204081632653,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Uterus-AdenoCA",40,2,0.05,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Myeloid-MPN",23,1,0.0434782608695652,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Lung-SCC",48,2,0.0416666666666667,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Breast-AdenoCA",198,8,0.0404040404040404,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Ovary-AdenoCA",112,4,0.0357142857142857,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"CNS-GBM",41,1,0.024390243902439,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Lymph-CLL",95,2,0.0210526315789474,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Prost-AdenoCA",210,3,0.0142857142857143,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Panc-Endocrine",85,1,0.0117647058823529,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"CNS-Medullo",146,1,0.00684931506849315,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Biliary-AdenoCA",33,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Bone-Benign",16,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Breast-DCIS",3,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Breast-LobularCA",13,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Cervix-AdenoCA",2,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"CNS-Oligo",18,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"CNS-PiloAstro",89,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Kidney-ChRCC",45,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Myeloid-AML",13,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Myeloid-MDS",2,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"SoftTissue-Leiomyo",15,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"SoftTissue-Liposarc",19,0,0,0.0514285714285714,"Tcells","pos","Necroptosis","Necroptosis"
"Bladder-TCC",23,5,0.217391304347826,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Lymph-BNHL",107,19,0.177570093457944,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"ColoRect-AdenoCA",52,9,0.173076923076923,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Head-SCC",57,7,0.12280701754386,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Stomach-AdenoCA",69,7,0.101449275362319,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Skin-Melanoma",106,10,0.0943396226415094,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-MPN",23,2,0.0869565217391304,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Lung-SCC",48,4,0.0833333333333333,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Breast-LobularCA",13,1,0.0769230769230769,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Eso-AdenoCA",98,6,0.0612244897959184,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Lung-AdenoCA",38,2,0.0526315789473684,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Panc-AdenoCA",237,11,0.0464135021097046,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Kidney-RCC",143,6,0.041958041958042,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Thy-AdenoCA",48,2,0.0416666666666667,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Liver-HCC",315,10,0.0317460317460317,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Breast-AdenoCA",198,6,0.0303030303030303,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Uterus-AdenoCA",40,1,0.025,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-GBM",41,1,0.024390243902439,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Prost-AdenoCA",210,5,0.0238095238095238,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-Medullo",146,2,0.0136986301369863,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Panc-Endocrine",85,1,0.0117647058823529,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Lymph-CLL",95,1,0.0105263157894737,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Biliary-AdenoCA",33,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Benign",16,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Epith",10,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Breast-DCIS",3,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Cervix-AdenoCA",2,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Cervix-SCC",18,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-Oligo",18,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"CNS-PiloAstro",89,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Kidney-ChRCC",45,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-AML",13,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-MDS",2,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"SoftTissue-Leiomyo",15,0,0,0.0460952380952381,"Tcells","pos","Interferon Gamma Signaling","IFNg Signaling"
"ColoRect-AdenoCA",52,10,0.192307692307692,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Lymph-BNHL",107,20,0.186915887850467,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Bladder-TCC",23,3,0.130434782608696,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Lung-SCC",48,5,0.104166666666667,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Myeloid-MPN",23,2,0.0869565217391304,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Eso-AdenoCA",98,8,0.0816326530612245,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Skin-Melanoma",106,6,0.0566037735849057,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Head-SCC",57,3,0.0526315789473684,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"CNS-GBM",41,2,0.048780487804878,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Stomach-AdenoCA",69,3,0.0434782608695652,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Liver-HCC",315,12,0.0380952380952381,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Panc-Endocrine",85,3,0.0352941176470588,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Panc-AdenoCA",237,7,0.029535864978903,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Ovary-AdenoCA",112,3,0.0267857142857143,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Lung-AdenoCA",38,1,0.0263157894736842,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Uterus-AdenoCA",40,1,0.025,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Breast-AdenoCA",198,4,0.0202020202020202,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Prost-AdenoCA",210,3,0.0142857142857143,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
"Kidney-RCC",143,2,0.013986013986014,0.0384761904761905,"Tcells","pos","Antigen Presentation: Folding, Assembly And Peptide Loading Of Class I Mhc","Antigen Presentation via MHC-I"
